5.641289 0.983333
6.893004 1.233333
8.504801 1.450000
9.516461 1.650000
11.111112 1.916667
12.637175 2.183333
13.906036 2.333333
16.015089 2.716667
18.792868 3.350000
21.519205 3.700000
24.468451 4.433333
27.846367 5.066667
31.138546 5.633333
33.796295 6.350000
37.002743 6.883333
39.180382 7.200000
42.489712 7.616667
44.375858 7.950000
47.908096 8.616667
51.697529 9.433333
53.034981 9.433333
54.595333 9.833333
56.327160 10.416667
58.727711 10.633333
61.316872 11.350000
64.180389 12.066667
66.872429 12.366667
69.993141 13.166667
73.233887 13.333333
75.120026 13.816667
78.377914 14.116667
81.275719 14.783333
83.933472 15.700000
85.373802 15.866667
86.779831 16.066667
88.545952 16.800000
90.517830 16.533333
91.306587 16.733333
91.306587 17.433333
91.426613 17.150000
91.769547 16.516667
92.524002 16.716667
93.381348 16.983333
95.010284 17.400000
96.227715 19.200000
97.668037 18.350000
98.713997 18.350000
98.748283 18.266667
99.742798 18.116667
99.794235 18.350000
